FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5
2,1,2,0,2.0,3.2,3.2,2.1,3.3,3.1,2.2,3.0,2.9,2.0,3.2,3.2,2.1,3.25,3.0,2.1,3.2,3.2,2.0,3.2,3.2,1.75,1.85,,
3,0,0,0,2.5,3.1,2.5,2.65,3.15,2.45,2.5,3.0,2.5,2.5,3.25,2.4,2.5,3.2,2.5,2.5,3.25,2.5,2.37,3.1,2.62,1.7,1.9,,
2,0,1,0,2.625,3.2,2.3,2.85,3.25,2.25,2.7,3.0,2.3,2.88,3.0,2.25,2.8,3.25,2.2,2.8,3.2,2.3,2.8,3.1,2.25,1.65,1.95,,
2,1,0,1,1.83,3.2,3.75,1.95,3.36,4.06,1.8,3.1,3.8,1.8,3.25,3.75,1.83,3.25,3.75,1.85,3.3,3.8,1.83,3.2,3.75,1.85,1.93,,
0,1,0,0,1.83,3.2,3.75,1.91,3.45,3.81,2.0,3.1,3.2,1.91,3.2,3.5,1.83,3.25,3.75,1.85,3.3,3.8,1.9,3.2,3.5,1.75,2.01,,
1,0,1,0,2.2,3.25,2.75,2.31,3.35,3.2,2.0,3.1,3.2,2.2,3.2,2.8,2.2,3.25,2.9,2.2,3.25,2.9,2.1,3.2,3.0,1.74,2.07,,
0,1,0,1,1.83,3.2,3.75,1.86,3.5,4.05,1.85,3.1,3.6,1.8,3.2,4.0,1.83,3.25,3.75,1.85,3.3,3.8,1.8,3.25,3.8,1.72,2.17,,
0,1,0,0,1.9,3.2,3.5,2.0,3.4,4.0,2.1,3.0,3.1,1.91,3.2,3.5,1.91,3.25,3.5,1.909,3.25,3.6,1.9,3.2,3.5,1.77,1.9,,
3,2,0,0,1.8,3.3,3.75,1.8,3.6,4.2,1.75,3.2,4.0,1.8,3.2,4.0,1.8,3.25,4.0,1.8,3.3,4.0,1.72,3.25,4.2,1.75,1.95,,
3,1,1,0,2.37,3.1,2.62,2.47,3.38,2.87,2.3,3.0,2.7,2.38,3.2,2.62,2.25,3.25,2.75,2.3,3.25,2.75,2.2,3.1,2.87,1.72,2.01,,
3,1,2,1,1.61,3.25,5.0,1.71,3.55,5.2,1.65,3.3,4.4,1.57,3.5,5.0,1.62,3.4,5.0,1.615,3.5,5.0,1.61,3.3,5.0,2.02,1.9,,
3,0,3,0,1.61,3.25,5.0,1.66,3.54,5.25,1.6,3.4,4.6,1.62,3.25,5.0,1.62,3.4,5.0,1.615,3.4,5.0,1.61,3.3,5.0,1.77,1.95,,
0,2,0,2,2.0,3.2,3.2,2.08,3.5,3.46,1.9,3.1,3.5,2.1,3.2,3.0,2.1,3.25,3.0,2.1,3.25,3.1,2.0,3.2,3.2,1.81,1.97,,
1,0,1,0,1.4,3.6,7.5,1.4,4.05,8.0,1.35,4.0,7.0,1.4,3.75,7.0,1.36,4.0,7.5,1.364,4.0,7.5,1.4,3.6,7.5,1.5,2.25,1.57,2.25
