FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
2,2,1,1,2.4,3.25,2.5,2.35,3.2,2.65,2.5,3.2,2.3,2.3,3.2,2.625,2.45,3.15,2.45,1.65,1.95
1,1,0,1,2.5,3.1,2.5,2.55,3.2,2.45,2.5,3.2,2.3,2.5,3.25,2.375,2.45,3.15,2.45,1.6,2.05
1,0,1,0,2.1,3.2,3.0,2.0,3.25,3.25,2.0,3.2,3.1,2.0,3.2,3.2,2.05,3.2,3.0,1.75,1.85
0,0,0,0,2.3,3.2,2.625,2.3,3.2,2.7,2.4,3.2,2.4,2.3,3.2,2.625,2.2,3.2,2.7,1.7,1.9
2,4,1,1,2.0,3.2,3.2,2.1,3.25,3.0,2.3,3.0,2.7,2.1,3.25,3.0,2.1,3.2,3.0,1.65,1.95
6,1,3,0,1.4,3.75,7.0,1.35,4.0,8.0,1.3,4.2,8.0,1.364,4.0,7.0,1.35,3.9,7.5,1.4,2.5
2,2,1,0,2.2,3.25,2.75,2.1,3.25,3.0,2.0,3.2,2.1,2.1,3.2,3.0,2.05,3.2,3.0,1.65,1.95
3,0,0,0,1.615,3.5,4.5,1.65,3.4,4.6,1.6,3.4,4.6,1.6669999999999998,3.4,4.333,1.7,3.2,4.2,1.65,1.95
2,0,1,0,1.5,3.6,5.5,1.5,3.75,5.45,1.5,3.7,5.0,1.5330000000000001,3.6,5.0,1.55,3.5,5.0,1.65,1.95
1,2,1,2,1.571,3.5,5.0,1.55,3.6,5.15,1.55,3.5,4.8,1.6,3.25,5.0,1.65,3.3,4.5,1.65,1.95
1,0,1,0,2.0,3.2,3.2,1.98,3.47,3.4,2.0,3.2,3.1,1.909,3.25,3.4,1.9,3.25,3.3,1.65,1.95
3,0,1,0,1.7269999999999999,3.4,4.0,1.66,3.45,4.65,1.65,3.3,4.4,1.6669999999999998,3.4,4.333,1.7,3.2,4.2,1.75,1.85
3,2,1,1,2.0,3.2,3.2,1.85,3.3,3.65,1.85,3.2,3.5,1.909,3.25,3.4,1.85,3.2,3.5,1.85,1.75
0,0,0,0,2.2,3.25,2.75,2.1,3.3,2.95,2.0,3.2,3.1,2.1,3.2,3.0,2.05,3.3,2.9,1.8,1.8
1,0,1,0,1.3330000000000002,4.0,8.0,1.29,4.5,8.75,1.3,4.2,8.0,1.286,4.5,8.0,1.3,4.33,8.0,1.5,2.25
1,0,0,0,1.6669999999999998,3.3,4.5,1.66,3.4,4.65,1.65,3.3,4.4,1.615,3.5,4.5,1.7,3.3,4.1,1.75,1.85
0,2,0,1,5.0,3.5,1.571,5.8,3.6,1.5,5.0,3.7,1.5,5.5,3.6,1.5,5.0,3.4,1.55,1.55,2.15
1,1,0,1,2.75,3.25,2.2,2.8,3.3,2.2,2.4,3.2,2.4,2.875,3.3,2.1,2.8,3.2,2.15,1.7,1.9
3,0,1,0,1.12,6.5,12.0,1.15,5.9,13.0,1.15,6.0,12.0,1.14,6.0,12.0,1.15,6.0,10.0,1.9,1.7
0,0,0,0,1.9,3.25,3.4,1.9,3.3,3.5,2.0,3.2,3.1,1.83,3.3,3.6,1.85,3.25,3.5,1.55,2.15
1,1,1,1,1.83,3.25,3.75,2.0,3.3,3.2,1.9,3.2,3.4,1.91,3.25,3.4,1.9,3.2,3.4,1.7,1.9
4,2,1,1,1.36,4.0,7.0,1.35,4.3,7.0,1.3,4.2,8.0,1.33,4.33,7.0,1.35,4.0,7.0,1.5,2.25
1,0,0,0,1.61,3.5,4.5,1.6,3.55,4.75,1.6,3.4,4.6,1.62,3.5,4.5,1.6,3.5,4.5,1.7,1.9
0,6,0,3,3.4,3.25,1.9,3.75,3.25,1.85,3.8,3.3,1.75,3.6,3.3,1.83,3.6,3.3,1.8,1.6,2.1
0,3,0,2,2.625,3.2,2.3,2.65,3.25,2.32,2.4,3.2,2.4,2.625,3.2,2.3,2.5,3.15,2.4,1.75,1.85
5,0,3,0,1.7269999999999999,3.4,4.0,1.7,3.4,4.25,1.7,3.3,4.0,1.75,3.3,4.0,1.7,3.3,4.1,1.5,2.25
2,0,1,0,1.7269999999999999,3.4,4.0,1.7,3.45,4.2,1.7,3.3,4.0,1.6669999999999998,3.4,4.333,1.65,3.3,4.5,1.7,1.9
1,0,1,0,2.0,3.2,3.2,2.0,3.25,3.25,1.9,3.2,3.4,2.0,3.2,3.2,2.0,3.3,3.0,1.6,2.05
0,1,0,1,4.333,3.4,1.6669999999999998,4.5,3.5,1.65,4.8,3.5,1.55,4.333,3.3,1.7,4.1,3.3,1.7,1.55,2.15
1,1,1,1,1.8,3.3,3.75,1.78,3.3,4.0,1.8,3.2,3.7,1.8330000000000002,3.2,3.75,2.0,3.2,3.2,1.6,2.05
