FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
2,0,1,0,1.909,3.0,3.75,2.02,3.0,3.8,1.9,2.9,3.8,1.91,3.2,3.5,1.909,3.1,3.75,1.83,3.0,4.0,1.95,1.65
1,0,1,0,2.2,3.0,3.0,2.15,3.0,3.3,2.2,2.8,3.1,2.1,3.0,3.2,2.2,3.0,3.1,2.2,2.8,3.2,1.9,1.7
3,1,2,1,2.25,3.0,2.9,2.3,3.0,3.0,2.3,2.8,2.9,2.2,3.0,3.0,2.2,3.0,3.1,2.2,2.87,3.1,2.05,1.6
2,2,0,1,1.6669999999999998,3.1,5.0,1.71,3.21,5.0,1.65,3.2,4.6,1.67,3.25,4.5,1.6669999999999998,3.2,5.0,1.57,3.3,5.5,1.75,1.85
2,0,1,0,1.5330000000000001,3.25,6.0,1.56,3.45,6.0,1.55,3.3,5.2,1.61,3.2,5.5,1.571,3.4,5.5,1.53,3.3,6.0,1.9,1.7
1,1,1,0,1.5330000000000001,3.25,6.0,1.56,3.45,6.0,1.55,3.3,5.2,1.57,3.25,5.5,1.571,3.4,5.5,1.53,3.3,6.0,1.9,1.7
0,0,0,0,1.909,3.0,3.75,2.0,3.05,3.65,1.9,2.9,3.8,2.0,3.2,3.2,1.909,3.0,3.75,1.9,3.0,3.75,1.9,1.7
2,0,1,0,1.8330000000000002,3.0,4.0,1.86,3.1,4.2,1.8,3.0,4.0,1.8,3.2,4.0,1.75,3.1,4.5,1.8,3.1,4.0,1.85,1.75
0,2,0,1,2.1,3.0,3.2,2.2,3.0,3.2,2.1,2.8,3.3,2.2,3.0,3.0,2.2,3.0,3.1,2.1,3.0,3.2,1.9,1.7
0,0,0,0,2.3,3.0,2.8,2.3,3.0,3.0,2.4,2.9,2.7,2.1,3.0,3.2,2.3,2.9,3.0,2.25,2.8,3.1,1.95,1.65
3,1,1,1,2.875,3.0,2.25,3.0,3.0,2.3,2.7,2.8,2.5,2.75,3.0,2.37,3.0,2.9,2.3,2.9,2.9,2.3,1.9,1.7
1,0,0,0,2.8,2.875,2.375,2.75,3.0,2.45,2.7,2.9,2.4,,,,2.75,2.875,2.4,2.8,2.9,2.37,1.95,1.65
1,2,0,1,2.875,3.0,2.25,3.1,2.9,2.3,3.0,2.9,2.2,,,,3.0,2.875,2.25,3.3,2.87,2.1,2.05,1.6
1,0,1,0,2.1,3.0,3.2,2.34,3.0,3.16,2.4,2.7,2.9,2.1,3.0,3.2,2.2,3.0,3.2,2.2,2.8,3.2,2.0,1.7
2,0,1,0,1.66,3.1,5.0,1.64,3.45,5.4,1.6,3.3,4.8,1.67,3.2,5.0,1.571,3.4,5.5,1.57,3.3,5.5,1.9,1.74
0,0,0,0,2.5,2.87,2.62,2.65,3.11,2.7,2.3,2.8,2.9,2.5,3.2,2.5,2.5,3.0,2.7,2.5,2.9,2.62,1.96,1.7
