FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
2,3,0,2,7.0,3.6,1.44,8.0,3.8,1.4,5.4,3.8,1.45,6.5,3.6,1.444,7.0,3.5,1.44,7.0,3.6,1.44,7.0,3.5,1.44,1.75,1.95,1.72,2.0,1.9,1.9,1.25,1.9,1.95,1.25,1.9,2.0,1.25
2,2,1,0,3.25,3.0,2.1,3.85,3.0,2.0,3.3,3.0,2.0,3.4,3.0,2.0,3.75,2.88,2.0,3.75,2.87,2.0,3.6,2.87,2.0,1.95,1.75,1.83,1.83,1.8,2.0,0.5,2.05,1.8,0.25,2.1,1.8,0.25
2,2,0,0,1.8,3.0,4.33,1.75,3.15,5.0,1.65,3.2,4.6,1.8,3.2,4.0,1.8,3.25,4.0,1.8,3.2,4.0,1.8,3.0,4.2,1.9,1.79,1.83,1.83,1.75,2.02,-0.5,1.8,2.05,-0.5,1.8,2.1,-0.5
1,1,1,0,1.83,3.25,3.75,1.9,3.0,4.1,1.9,3.1,3.5,1.909,3.0,3.75,1.83,3.0,4.33,1.85,3.0,4.2,1.9,3.0,3.75,1.85,1.85,1.8,1.9,1.9,1.9,-0.5,1.95,1.9,-0.5,1.975,1.925,-0.5
1,0,1,0,1.83,3.0,4.2,1.9,3.0,4.1,1.75,3.1,4.2,1.7269999999999999,3.2,4.333,1.8,3.25,4.0,1.83,3.0,4.2,1.72,3.1,4.5,1.79,1.9,1.83,1.83,1.9,1.9,-0.5,1.9,1.95,-0.5,1.9,2.0,-0.5
2,0,0,0,1.8,3.0,4.33,1.8,3.15,4.4,1.75,3.1,4.2,1.8,3.2,4.0,1.8,3.0,4.33,1.8,3.0,4.33,1.8,2.9,4.5,1.9,1.79,1.9,1.8,1.8,2.0,-0.5,1.85,2.0,-0.5,1.8,2.1,-0.5
2,1,1,0,2.1,3.0,3.25,2.15,3.0,3.3,2.0,2.9,3.4,2.1,3.0,3.2,2.1,2.88,3.5,2.1,2.87,3.4,2.0,2.87,3.6,2.0,1.71,1.9,1.8,1.95,1.85,-0.25,1.95,1.9,-0.25,2.0,1.9,-0.25
2,0,1,0,1.66,3.2,5.0,1.7,3.25,4.8,1.7,3.2,4.2,1.615,3.25,5.0,1.67,3.25,5.0,1.66,3.2,5.0,1.66,3.1,5.0,1.71,2.0,1.72,2.0,2.0,1.8,-0.75,2.05,1.8,-0.75,2.05,1.85,-0.75
2,0,2,0,1.5,3.5,6.0,1.5,3.55,7.0,1.45,3.6,5.8,1.5,3.4,6.0,1.5,3.5,6.5,1.5,3.4,6.5,1.44,3.5,7.0,1.79,1.9,1.8,1.9,2.0,1.8,-1.25,1.8,2.05,-1.0,1.9,2.0,-1.0
0,1,0,0,2.62,3.0,2.5,2.8,2.9,2.5,2.6,2.9,2.5,2.625,2.875,2.5,2.7,2.88,2.5,2.7,2.87,2.5,2.62,2.9,2.5,1.95,1.75,1.9,1.8,1.8,2.0,0.25,1.8,2.05,0.25,1.8,2.1,0.25
2,1,1,1,1.8,3.1,4.2,1.8,3.0,4.7,1.7,3.0,4.6,1.7269999999999999,3.2,4.333,1.8,3.0,4.33,1.8,3.0,4.33,1.83,3.0,4.0,2.0,1.71,1.9,1.8,1.8,2.0,-0.5,1.75,2.1,-0.5,1.8,2.1,-0.5
0,0,0,0,2.3,2.87,3.0,2.35,2.95,2.95,2.0,2.9,3.4,2.375,2.875,2.8,2.25,2.88,3.1,2.25,2.87,3.1,2.3,3.0,2.8,1.75,1.95,1.83,1.83,2.08,1.75,-0.25,1.75,2.1,0.0,1.8,2.1,0.0
2,0,2,0,1.28,4.5,9.0,1.28,4.5,10.0,1.3,4.0,8.5,1.25,4.5,10.0,1.29,4.33,9.0,1.28,4.33,9.0,1.25,4.33,11.0,1.65,2.05,1.66,2.1,2.08,1.75,-1.5,2.05,1.8,-1.5,2.1,1.8,-1.5
2,1,0,0,1.44,3.6,7.0,1.5,3.5,6.6,1.45,3.4,6.0,1.444,3.5,7.0,1.5,3.4,6.5,1.5,3.4,6.5,1.4,3.75,7.0,1.75,1.95,1.72,2.0,2.0,1.8,-1.0,2.0,1.85,-1.0,2.05,1.85,-1.0
3,0,1,0,1.53,3.4,6.0,1.57,3.4,6.0,1.6,3.3,4.8,1.571,3.25,5.5,1.57,3.4,5.5,1.57,3.4,5.5,1.5,3.4,6.0,1.79,1.9,1.83,1.83,1.8,2.0,-0.75,1.8,2.05,-0.75,1.8,2.1,-0.75
3,3,2,1,2.3,2.87,3.0,2.3,2.9,3.1,2.3,2.8,2.9,2.25,2.875,3.0,2.3,3.0,2.88,2.3,3.0,2.87,2.3,3.0,2.8,2.0,1.71,2.0,1.72,2.0,1.8,-0.25,2.1,1.75,-0.25,2.1,1.8,-0.25
0,0,0,0,1.57,3.4,5.5,1.55,3.4,6.0,1.6,3.3,4.8,1.5330000000000001,3.25,6.0,1.57,3.4,5.5,1.57,3.4,5.5,1.61,3.1,5.5,,,1.8,1.9,,,,1.85,2.0,-0.75,1.875,2.025,-0.75
0,3,0,1,3.5,3.0,2.0,3.75,3.0,2.0,3.4,2.9,2.0,3.2,3.0,2.1,3.75,3.1,1.91,3.75,3.1,1.9,3.6,2.87,2.0,1.9,1.79,1.9,1.8,1.8,2.0,0.5,2.05,1.8,0.25,2.1,1.8,0.25
1,1,0,0,2.25,2.8,3.2,2.35,2.8,3.0,2.3,2.8,2.9,2.38,2.88,2.8,2.25,2.88,3.1,2.25,2.88,3.1,2.3,2.8,3.0,2.0,1.71,1.9,1.8,1.8,2.0,0.0,2.05,1.8,-0.25,2.05,1.85,-0.25
1,2,1,2,2.62,3.0,2.5,2.75,2.8,2.55,2.7,2.9,2.4,2.75,3.0,2.38,2.7,2.88,2.5,2.7,2.88,2.5,2.8,2.87,2.4,1.85,1.85,1.9,1.8,1.95,1.85,0.0,1.95,1.9,0.0,2.0,1.9,0.0
0,0,0,0,2.37,3.0,2.75,2.55,2.85,2.7,2.4,2.8,2.8,2.62,2.88,2.5,2.4,2.9,2.8,2.4,2.9,2.8,2.37,2.87,2.8,1.85,1.85,2.05,1.7,1.86,1.95,0.0,1.85,2.0,0.0,1.8,2.1,0.0
0,1,0,1,2.0,3.0,3.5,2.1,2.85,3.5,2.1,2.7,3.5,2.1,3.0,3.2,2.0,3.0,3.5,2.0,3.0,3.5,2.1,2.8,3.4,1.85,1.85,1.83,1.83,1.75,2.05,-0.25,1.75,2.1,-0.25,1.775,2.125,-0.25
2,3,2,2,2.75,3.0,2.37,2.75,2.8,2.55,2.8,2.8,2.4,2.5,2.88,2.62,2.75,3.0,2.4,2.75,3.0,2.4,2.62,2.9,2.5,1.85,1.85,1.83,1.83,1.95,1.85,0.0,2.0,1.85,0.0,2.0,1.9,0.0
