FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
0,0,0,0,2.0,3.1,3.4,1.9,3.1,3.5,2.0,3.2,3.2,1.95,3.1,3.4,1.91,3.25,3.4,1.83,3.2,3.75
0,0,0,0,1.7,3.3,4.45,1.75,3.2,4.0,1.73,3.4,4.0,1.57,3.4,5.5,1.73,3.2,4.33,1.66,3.3,4.5
1,1,1,0,1.8,3.25,3.95,1.8,3.1,3.8,1.8,3.25,3.75,1.73,3.3,4.2,1.8,3.25,3.75,1.72,3.3,4.2
1,0,0,0,4.45,3.4,1.66,4.6,3.4,1.6,4.5,3.25,1.67,5.5,3.4,1.57,4.5,3.25,1.67,4.5,3.5,1.61
2,1,1,1,2.6,3.1,2.45,2.7,3.0,2.3,2.4,3.25,2.5,2.62,3.1,2.38,2.6,3.1,2.38,2.6,3.1,2.4
2,2,2,2,1.72,3.3,4.3,1.7,3.2,4.2,1.67,3.4,4.33,1.57,3.4,5.5,1.67,3.4,4.33,1.66,3.3,4.5
0,0,0,0,1.75,3.3,4.15,1.75,3.2,4.0,1.73,3.4,4.0,1.73,3.25,4.2,1.8,3.25,3.75,1.66,3.3,4.5
1,1,1,0,2.3,3.15,2.75,2.3,2.9,2.8,2.25,3.4,2.62,2.38,3.1,2.62,2.4,3.2,2.5,2.25,3.2,2.75
2,2,1,1,1.52,3.5,5.8,1.65,3.3,4.4,1.67,3.4,4.33,1.6,3.3,5.0,1.57,3.5,5.0,1.57,3.3,5.5
3,1,0,0,2.42,3.05,2.65,2.4,2.8,2.8,2.25,3.4,2.62,2.3,3.1,2.7,2.3,3.1,2.7,2.3,3.1,2.75
0,0,0,0,1.25,4.5,11.0,1.3,4.2,8.0,1.36,3.75,8.0,1.29,4.33,9.0,,,,1.28,4.5,8.0
5,2,0,1,1.55,3.5,5.45,1.55,3.5,4.8,1.61,3.5,4.5,1.57,3.4,5.2,,,,1.57,3.5,5.0
2,2,0,0,1.25,4.5,11.0,1.25,4.5,9.0,1.25,4.5,10.0,1.25,4.5,10.0,1.22,5.5,8.0,1.25,4.5,10.0
2,2,0,0,4.5,3.45,1.65,4.0,3.2,1.75,5.0,3.5,1.57,4.5,3.3,1.67,,,,4.5,3.5,1.61
3,2,1,1,1.41,3.75,7.0,1.55,3.5,4.8,1.3,4.33,8.0,1.4,3.75,7.0,,,,1.44,3.6,6.5
0,0,0,0,2.45,3.1,2.6,2.4,2.9,2.7,2.37,3.2,2.6,2.38,3.1,2.62,2.5,3.1,2.5,2.5,3.1,2.5
1,3,0,2,2.5,3.2,2.5,2.7,3.0,2.3,2.5,3.25,2.4,2.5,3.1,2.5,2.38,3.1,2.6,2.5,3.1,2.5
1,3,0,0,1.6,3.4,5.1,1.6,3.4,4.6,1.73,3.4,4.0,1.62,3.3,5.0,1.57,3.5,5.0,1.61,3.3,5.0
3,1,1,0,2.95,3.2,2.15,2.7,3.0,2.3,2.62,3.4,2.25,2.8,3.2,2.2,3.0,3.2,2.1,3.0,3.2,2.1
2,0,1,0,1.77,3.25,4.1,1.7,3.2,4.2,1.8,3.25,3.75,1.75,3.2,4.333,1.8,3.1,4.0,1.72,3.4,4.0
2,0,0,0,1.35,4.1,7.6,1.3,4.2,8.0,1.33,4.33,7.0,1.3330000000000002,4.2,8.0,1.3330000000000002,4.333,7.0,1.36,3.75,8.0
0,2,0,0,2.65,3.05,2.45,2.7,3.0,2.3,2.4,3.25,2.5,2.5,3.1,2.5,2.7,3.1,2.3,2.62,3.1,2.37
3,0,0,0,1.65,3.3,4.85,1.7,3.2,4.2,1.61,3.5,4.5,1.571,3.4,5.25,1.6669999999999998,3.4,4.333,1.53,3.6,5.0
5,1,2,0,2.7,3.05,2.4,2.4,3.0,2.6,2.4,3.25,2.5,2.625,3.1,2.4,2.6,3.1,2.375,2.6,3.1,2.4
3,1,0,1,2.87,3.15,2.2,3.3,3.0,2.0,2.8,3.2,2.2,2.8,3.25,2.2,2.7,3.1,2.3,2.75,3.2,2.25
3,0,2,0,1.9,3.15,3.7,1.9,3.0,3.6,1.91,3.2,3.5,1.909,3.2,3.6,1.8330000000000002,3.2,3.75,1.83,3.2,3.75
2,1,1,1,3.55,3.25,1.9,3.2,3.1,2.0,3.75,3.25,1.8,3.6,3.25,1.85,3.2,3.2,2.0,3.4,3.25,1.9
3,1,1,0,1.7,3.3,4.5,1.6,3.4,4.6,1.73,3.4,4.0,1.75,3.25,4.2,1.6669999999999998,3.25,4.5,1.72,3.4,4.0
0,1,0,0,2.85,3.2,2.25,3.1,3.0,2.1,2.75,3.25,2.2,2.875,3.2,2.2,3.0,3.2,2.1,3.0,3.2,2.1
2,1,0,0,2.2,3.1,2.95,2.0,3.1,3.2,2.2,3.2,2.8,2.2,3.2,2.875,2.2,3.2,2.8,2.2,3.2,2.8
1,1,0,1,1.57,3.5,5.15,1.55,3.5,4.8,1.5,3.6,5.5,1.5330000000000001,3.5,5.5,1.5330000000000001,3.4,5.5,1.57,3.5,5.0
2,0,0,0,1.9,3.2,3.6,1.9,3.1,3.5,1.91,3.25,3.4,1.909,3.25,3.5,2.0,3.2,3.2,1.9,3.25,3.4
2,0,1,0,1.5,3.6,5.8,1.55,3.5,4.8,1.44,3.6,6.5,1.444,3.6,6.5,1.444,3.6,6.5,1.44,3.6,6.5
1,2,1,0,1.67,3.4,4.5,1.75,3.2,4.0,1.67,3.4,4.33,1.6,3.3,5.0,1.6669999999999998,3.25,4.5,1.66,3.3,4.5
1,1,1,1,2.7,3.25,2.3,2.7,3.0,2.3,2.75,3.2,2.25,2.75,3.2,2.3,2.875,3.1,2.2,3.0,3.2,2.1
2,0,0,0,1.85,3.35,3.65,1.8,3.1,3.8,1.91,3.2,3.5,1.9,3.2,3.6,2.0,3.2,3.2,1.8,3.3,3.75
1,0,0,0,1.75,3.4,4.0,1.7,3.2,4.2,1.73,3.4,4.0,1.6669999999999998,3.3,4.6,1.6669999999999998,3.4,4.333,1.66,3.3,4.5
1,0,0,0,2.75,3.25,2.25,2.7,3.0,2.3,2.75,3.2,2.25,2.8,3.1,2.25,,,,2.75,3.2,2.25
0,0,0,0,2.0,3.3,3.2,2.1,3.0,3.1,2.0,3.2,3.2,2.0,3.2,3.2,2.1,3.2,3.0,2.0,3.2,3.2
4,0,0,0,1.9,3.25,3.55,2.0,3.1,3.2,1.8,3.25,3.75,1.85,3.1,3.8,1.909,3.2,3.5,1.9,3.25,3.4
