FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5
0,1,0,0,2.75,3.0,2.375,2.91,3.17,2.42,2.6,3.1,2.3,2.6,3.2,2.38,2.62,3.0,2.5,2.75,3.2,2.375,2.87,3.1,2.2,1.75,1.98,,
0,3,0,0,2.6,3.2,2.4,2.81,3.15,2.45,2.5,3.0,2.5,2.6,3.2,2.38,2.75,3.25,2.25,2.6,3.2,2.5,2.62,3.1,2.37,1.75,1.88,,
0,1,0,1,2.0,3.25,3.25,2.15,3.25,3.25,1.9,3.1,3.5,2.1,3.2,3.0,2.2,3.2,2.88,2.1,3.2,3.25,2.2,3.1,2.87,1.95,1.82,,
1,1,0,0,2.375,3.0,2.75,2.4,3.1,2.8,2.3,3.0,2.7,2.25,3.2,2.75,2.25,3.25,2.75,2.3,3.25,2.8,2.25,3.2,2.75,2.0,1.8,,
1,0,1,0,2.8,3.2,2.25,2.96,3.3,2.25,2.5,3.0,2.5,2.6,3.2,2.38,2.75,3.25,2.25,2.8,3.2,2.3,2.75,3.2,2.25,1.93,1.7,,
3,1,0,0,1.5330000000000001,3.5,5.5,1.58,3.5,5.4,1.6,3.4,4.6,1.5,3.4,6.0,1.62,3.4,5.0,1.571,3.4,6.0,1.57,3.3,5.5,1.7,1.93,,
0,1,0,0,1.7269999999999999,3.25,4.333,1.85,3.36,4.25,1.85,3.1,3.6,1.8,3.2,4.0,1.8,3.25,4.0,1.8,3.25,4.333,1.8,3.1,4.0,2.1,1.7,,
0,1,0,0,1.8,3.25,4.0,1.9,3.25,4.0,1.9,3.1,3.5,1.8,3.25,3.75,1.8,3.25,4.0,1.909,3.25,3.75,1.8,3.1,4.0,1.9,1.85,,
1,2,1,1,1.3,4.5,8.0,1.39,4.2,7.3,1.45,3.8,5.4,1.29,4.5,8.0,1.36,3.75,8.5,1.3330000000000002,4.5,8.0,1.28,4.5,8.0,1.65,2.11,,
0,2,0,1,2.1,3.25,3.0,2.21,3.25,3.02,2.2,3.0,2.9,2.0,3.4,3.0,2.1,3.25,3.0,2.2,3.25,2.9,2.1,3.2,3.0,1.85,1.85,,
2,0,1,0,1.4,3.75,7.5,1.39,4.15,8.1,1.4,3.9,6.0,1.4,3.75,7.0,1.4,3.6,8.0,1.3330000000000002,4.2,8.5,1.33,4.0,8.0,1.7,2.0,,
2,1,0,0,1.5330000000000001,3.5,5.5,1.63,3.45,5.85,1.5,3.7,5.0,1.5,3.4,6.0,1.53,3.4,6.0,1.5330000000000001,3.5,6.0,1.5,3.4,6.0,1.75,2.0,,
1,1,0,1,1.3,4.5,8.0,1.33,4.8,7.1,1.3,4.2,8.0,1.25,4.5,10.0,1.29,4.33,10.0,1.3,4.5,9.0,1.3,4.33,8.0,1.7,2.1,,
2,2,1,1,2.2,3.25,2.8,2.42,3.25,2.65,2.2,3.0,2.9,2.2,3.2,2.8,2.25,3.25,2.75,2.25,3.25,2.75,2.2,3.2,2.8,1.93,1.85,,
2,1,1,1,1.5330000000000001,3.5,5.5,1.62,3.5,6.0,1.55,3.5,4.8,1.53,3.5,5.5,1.44,3.6,6.5,1.5330000000000001,3.5,6.0,1.5,3.4,6.0,1.75,1.95,,
4,2,2,2,2.375,3.2,2.625,2.35,3.2,2.85,2.2,3.0,2.9,2.25,3.2,2.75,2.2,3.2,2.88,2.3,3.2,2.8,2.3,3.1,2.75,2.05,1.79,,
0,1,0,0,2.0,3.25,3.25,2.08,3.3,3.31,1.85,3.1,3.6,1.91,3.25,3.4,1.91,3.4,3.4,1.909,3.4,3.4,2.1,3.2,3.0,1.8,1.87,,
1,1,0,1,2.1,3.25,3.0,2.26,3.1,3.0,2.1,3.0,3.1,2.1,3.2,3.0,2.2,3.2,2.88,2.1,3.4,3.0,2.2,3.1,2.87,2.02,1.75,,
3,1,0,0,1.909,3.25,3.5,1.96,3.25,3.6,2.1,3.0,3.1,1.91,3.25,3.4,1.91,3.25,3.5,2.0,3.2,3.5,2.0,3.2,3.2,1.9,1.7,,
2,0,1,0,1.3330000000000002,4.333,7.5,1.4,4.25,8.0,1.45,3.8,5.4,1.36,3.75,8.0,1.4,3.75,7.5,1.364,4.333,7.5,1.33,4.0,8.0,1.7,1.9,,
2,1,1,1,1.3330000000000002,4.333,7.5,1.36,4.25,8.0,1.3,4.2,8.0,1.33,4.0,8.0,1.29,4.5,8.5,1.3330000000000002,4.333,8.5,1.33,4.0,8.0,1.65,1.95,,
1,2,0,0,2.4,3.2,2.6,2.47,3.25,2.75,2.4,3.0,2.6,2.4,3.25,2.5,2.5,3.2,2.5,2.6,3.2,2.5,2.5,3.1,2.5,1.9,1.7,,
0,0,0,0,1.7269999999999999,3.25,4.333,1.91,3.3,3.9,1.8,3.1,3.8,1.73,3.2,4.33,1.67,3.4,4.5,1.7269999999999999,3.25,4.5,1.66,3.3,4.5,1.85,1.75,,
1,1,0,1,1.909,3.25,3.5,2.05,3.25,3.3,2.1,3.0,3.1,1.91,3.25,3.4,2.0,3.25,3.25,2.1,3.2,3.2,2.0,3.2,3.2,1.95,1.65,,
0,1,0,1,4.5,3.4,1.6669999999999998,4.2,3.3,1.81,4.0,3.3,1.7,4.0,3.4,1.73,3.75,3.25,1.83,4.5,3.25,1.7269999999999999,3.75,3.3,1.8,1.7,1.9,,
0,1,0,0,1.7269999999999999,3.25,4.333,1.76,3.3,4.5,1.7,3.2,4.2,1.73,3.2,4.33,1.73,3.25,4.33,1.75,3.25,4.5,1.8,3.3,3.75,1.8,1.8,,
0,0,0,0,2.3,3.2,2.7,2.45,3.25,2.6,2.5,3.0,2.5,2.2,3.25,2.75,2.5,3.2,2.5,2.5,3.2,2.6,2.37,3.1,2.62,1.75,1.85,,
2,0,1,0,2.0,3.25,3.25,1.9,3.3,3.7,1.9,3.1,3.5,1.83,3.2,3.75,2.0,3.25,3.25,2.0,3.2,3.4,1.9,3.2,3.5,1.92,1.82,,
1,0,1,0,1.5,3.5,6.0,1.55,3.78,5.65,1.55,3.5,4.8,1.44,3.6,6.5,1.5,3.5,6.0,1.5,3.6,6.5,1.44,3.6,6.5,1.66,2.1,,
3,1,1,0,2.2,3.25,2.8,2.25,3.32,3.0,2.0,3.1,3.2,2.0,3.2,3.2,2.2,3.25,2.8,2.2,3.25,3.0,2.1,3.1,3.1,2.05,1.67,,
1,1,0,1,2.0,3.25,3.25,1.96,3.4,3.66,1.9,3.1,3.5,2.1,3.0,3.2,2.0,3.25,3.25,2.0,3.2,3.5,1.9,3.2,3.5,1.98,1.73,,
3,0,3,0,1.444,3.75,6.5,1.45,3.95,7.5,1.45,3.8,5.4,1.4,3.75,7.0,1.4,3.75,7.5,1.4,4.0,7.5,1.44,3.6,6.5,1.73,1.95,,
1,0,1,0,1.6669999999999998,3.4,4.5,1.74,3.42,4.47,1.8,3.1,3.8,1.57,3.5,5.0,1.57,3.4,5.5,1.6669999999999998,3.4,4.75,1.66,3.3,4.5,1.9,1.78,,
