FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
3,1,1,0,1.55,3.4,5.4,1.6,3.2,4.2,1.57,3.25,5.5,1.53,3.4,5.6,1.53,3.6,5
1,1,1,1,2.05,3,3.35,2.1,2.9,2.9,2.1,3.2,3,2.1,3,3.2,2.1,3,3.2
2,1,1,0,2,3.1,3.4,1.8,3,3.5,1.8,3.25,3.75,1.91,3.1,3.6,2,3.2,3.2
1,3,1,1,2.6,3.1,2.42,2.3,2.9,2.5,2.62,2.87,2.5,2.5,3.1,2.5,2.4,3.1,2.6
1,1,0,0,1.85,3.1,3.85,1.85,2.9,3.4,1.83,3.2,3.75,1.85,3.1,3.75,,,
1,1,0,1,2.23,3,2.95,2.2,2.8,2.8,2.37,2.87,2.8,2.3,3,2.8,2.4,2.8,2.85
1,1,1,1,1.8,3.25,3.85,1.65,3.1,4,1.8,3.2,4,1.73,3.2,4.33,1.72,3.2,4.33
2,2,1,1,3.65,3.1,1.85,3.6,3.1,1.75,4.33,3.2,1.73,3.75,3.2,1.83,3.8,3.25,1.8
3,0,0,0,1.25,4.5,8.6,1.3,4,7,1.3,4.33,8,1.3,4.33,8.5,1.25,4.5,10
2,2,1,2,2.6,2.9,2.55,2.3,2.9,2.5,2.62,2.87,2.5,2.6,3.1,2.4,2.5,3.1,2.5
5,0,3,0,2.1,2.9,3.35,2.1,2.9,2.9,2,3,3.4,2,3,3.4,2.1,3,3.2
0,0,0,0,3.25,3.1,2.05,2.9,2.9,2.1,3.4,3.25,1.91,3.2,3.1,2,3.2,3.2,2
1,0,0,0,1.85,3,4.1,1.85,2.9,3.4,1.91,3.25,3.4,1.85,3.1,3.8,1.9,3.2,3.5
1,0,0,0,1.65,3.2,4.9,1.6,3.2,4.2,1.73,3.2,4.33,1.67,3.2,4.75,,,
3,0,1,0,1.7,3.2,4.5,1.75,3.1,3.6,1.61,3.25,5,1.67,3.25,4.6,1.66,3.3,4.5
0,1,0,0,1.8,3.2,4,1.7,3.1,3.8,1.8,3.25,3.75,1.75,3.2,4.2,1.72,3.4,4
1,4,1,2,1.95,3.1,3.5,1.9,2.8,3.3,2.1,3.2,3,2,3,3.4,1.83,3.2,3.75
0,1,0,0,2.5,2.9,2.6,2.3,2.9,2.5,2.75,3.2,2.25,2.5,3.1,2.5,2.62,3.1,2.4
2,0,2,0,2.35,2.8,2.95,2.1,2.8,3,2.37,2.87,2.8,2.38,2.88,2.8,2.37,2.9,2.8
7,0,6,0,1.3,4.5,8,1.3,4,7,1.36,4,7,1.3,4.33,8,1.28,4.5,8
2,1,2,1,1.27,4.6,9,1.25,4.3,8,1.17,5,15,1.22,5,9,1.25,4.5,10
1,0,0,0,1.72,3.2,4.45,1.7,3.1,3.8,1.57,3.5,5,1.67,3.25,4.6,1.66,3.3,4.5
