FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
3,1,2,0,3.2,2.95,2.15,3,2.9,2.2,3.2,3,2.1,3.2,2.9,2.15,3.1,2.88,2.2,3.1,2.87,2.2
1,1,1,0,3,2.95,2.25,3,2.9,2.2,3.2,2.8,2.2,3,2.9,2.25,3.1,2.88,2.2,3,2.8,2.3
0,1,0,0,1.9,3.05,3.85,1.9,3,3.6,1.8,3.2,4,1.83,3,4.2,1.83,3,4,1.9,2.87,4
1,1,0,0,3.95,3.1,1.85,3.6,3.1,1.85,3.75,3,1.91,4,3.1,1.85,3.75,3,1.91,4,3,1.83
3,0,1,0,1.3,4.35,9.3,1.35,4,7,1.33,3.75,9,1.4,3.75,7.5,1.3,4.33,8,1.3,4,9.5
2,3,2,2,1.88,3,4,1.85,2.9,4,1.91,3,3.75,1.9,2.9,4,1.91,3,3.75,1.9,2.87,4
0,0,0,0,1.28,4.45,9,1.35,4,7,1.33,4,8,1.3,4.2,9,1.36,4,7,1.33,4,8
1,0,1,0,2.2,2.9,3.15,2.3,2.8,2.9,2.1,3,3.2,2.2,2.88,3.2,2.2,2.88,3.1,2.25,2.87,3
2,3,1,0,2.22,2.95,3.05,2.3,2.7,3,2.25,2.87,3,2.38,2.88,2.88,2.3,2.88,2.9,2.3,2.9,2.9
0,3,0,1,2.6,2.9,2.6,2.6,2.8,2.6,2.62,2.87,2.5,2.6,2.88,2.62,2.62,2.88,2.5,2.5,2.8,2.7
2,2,2,1,1.45,3.7,6.5,1.5,3.5,5.4,1.4,3.75,7,1.44,3.6,7,1.44,3.6,6.5,1.44,3.5,7
0,4,0,2,3.4,2.9,2.1,3.3,2.8,2.1,3.6,2.87,2,3.2,2.88,2.2,3.4,2.8,2.1,3.1,2.87,2.2
2,1,0,0,1.36,3.85,8.2,1.5,3.5,5.4,1.33,4,8,1.4,3.75,7.5,1.36,3.75,8,1.4,3.75,7
2,0,0,0,1.75,3.15,4.4,1.75,3.2,4,1.73,3.2,4.33,1.75,3.1,4.33,1.8,3.1,4,1.72,3.2,4.33
2,0,0,0,2.1,3,3.25,2.2,2.9,3,2.2,3,3,2.05,2.88,3.5,,,,2.1,2.9,3.25
2,3,0,1,4,3.1,1.85,3.6,3,1.9,4,3.2,1.8,4,3,1.85,3.75,3,1.91,4,2.87,1.9
1,2,0,1,1.62,3.2,5.35,1.65,3.3,4.4,1.61,3.25,5,1.57,3.2,5.75,1.62,3.25,5,1.61,3.1,5.5
0,1,0,1,1.67,3.2,4.9,1.7,3.2,4.2,1.73,3.2,4.33,1.62,3.25,5.25,1.73,3.2,4.33,1.66,3.1,5
0,1,0,0,3.4,2.95,2.08,3.2,2.9,2.1,3.4,2.8,2.1,3.6,2.88,2.05,3.4,3,2,3.4,2.8,2.1
