FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
1,1,0,0,2.2,3.3,2.6,2.2,2.8,2.8,2.4,3.25,2.5,2.25,3,2.88,2.2,3,3
0,0,0,0,2.1,3,3.2,2.2,2.7,2.9,2.2,3,3,2.2,2.88,3.1,2.2,3,3
3,1,1,1,1.47,3.6,6,1.45,3.5,5,1.5,3.4,6,1.5,3.4,6,1.4,3.7,7
1,1,1,0,2.45,3.05,2.6,2.4,2.7,2.6,2.5,3.25,2.4,2.4,3,2.7,2.4,3.1,2.6
1,1,0,0,1.5,3.2,6,1.55,3.2,4.8,1.5,3.4,6,1.5,3.4,6,1.5,3.4,6
2,2,1,1,2.35,3,2.75,2.2,2.7,2.9,2.37,3.2,2.6,2.4,3,2.7,2.35,2.9,2.8
1,0,1,0,1.85,3.2,3.7,1.7,3.1,3.8,2,3.2,3.2,1.83,3.2,3.75,1.83,3.2,3.75
1,1,0,1,1.6,3.3,4.8,1.65,3.1,4,1.5,3.4,6,1.62,3.25,5,1.57,3.25,5.5
1,0,0,0,2.15,3,3.1,2.2,2.8,2.8,2.4,3.25,2.5,2.25,3.1,2.8,2.2,3.1,2.87
2,1,0,1,2.1,3,3.2,2.1,2.8,3,2.1,3.2,3,2.15,3,3.1,1.9,3.1,3.6
3,0,2,0,1.62,3.4,4.85,1.6,3,4.5,,,,1.62,3.25,5,1.61,3.25,5
1,1,0,0,1.92,3.05,3.65,1.85,2.9,3.4,2,3.2,3.2,1.91,3.1,3.6,1.9,3,3.75
4,1,3,1,1.62,3.25,5.1,1.7,3,4,1.61,3.25,5,1.67,3.2,4.75,1.65,3.1,5
3,1,1,0,1.97,3.1,3.45,2,2.7,3.2,2,3.2,3.2,1.91,3.1,3.6,1.9,3.1,3.6
1,0,1,0,1.6,3.3,5.2,1.6,3,4.5,1.73,3.2,4.33,1.67,3.25,4.6,1.72,3.2,4.33
1,2,0,0,1.85,3.1,3.85,1.8,2.9,3.6,1.8,3.25,3.75,1.9,3.1,3.6,1.75,3.2,4.2
0,0,0,0,1.57,3.35,5.4,1.6,3,4.5,1.61,3.25,5,1.57,3.25,5.5,1.6,3.2,5.25
3,3,1,1,2.35,2.95,2.8,2.3,2.8,2.6,2.4,3.25,2.5,2.38,3.1,2.63,2.4,3.1,2.6
2,1,1,1,2.67,2.9,2.45,2.45,2.8,2.45,2.5,3.25,2.4,2.5,3.1,2.5,2.4,3.1,2.6
0,1,0,1,1.67,3.2,4.6,1.7,3,4,1.73,3.4,4,1.7,3.2,4.5,1.65,3.35,4.5
2,3,1,2,2.4,2.9,2.8,2.4,2.6,2.7,2.5,3,2.6,2.4,2.88,2.75,2.37,3,2.7
0,1,0,1,1.8,3.2,3.8,1.9,2.8,3.3,1.8,3.25,3.75,1.83,3.2,3.75,1.75,3.25,4
6,1,3,1,1.6,3.3,5.25,1.75,3,3.8,1.73,3.2,4.33,1.62,3.3,5,1.61,3.1,5.5
1,0,0,0,1.97,3,3.6,2,2.7,3.2,1.8,3.25,3.75,1.9,3.1,3.6,1.83,3.2,3.75
3,3,2,1,1.62,3.3,5,1.6,3.2,4.2,1.57,3.5,5,1.62,3.3,5,1.6,3.4,4.8
