FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
1,3,0,1,3.75,3.2,1.83,4.1,3.35,1.75,4.2,3.25,1.75,3.8,3.1,1.8,3.75,3.2,1.83,3.75,3.25,1.8,3.4,3.3,1.9,1.6,2.1,1.95,1.67,0.5,2.1,1.74,0.5,,,
1,3,1,0,1.3,4.33,8,1.3,4.5,8.25,1.3,4.4,8.5,1.33,4,7.5,1.33,4,8,1.3,4.5,7.5,1.33,4.2,7.5,1.55,2.2,1.3,2.9,-0.5,1.98,1.86,-1.5,,,
2,1,1,0,1.9,3.2,3.5,1.9,3.4,3.4,2,3.25,3.3,2,3.1,3.2,1.8,3.4,3.6,2,3.2,3.2,2,3.3,3.1,1.65,2,2,1.64,-0.5,2.02,1.82,-0.5,,,
0,2,0,1,6,3.75,1.44,6.5,4,1.4,7,3.9,1.4,7,4,1.35,6.5,4,1.4,6.5,3.6,1.44,7,3.75,1.4,,,,,2.5,1.4,0.5,2.06,1.78,1.25,
3,0,1,0,2.75,3.2,2.25,2.85,3.25,2.2,2.75,3.25,2.25,3.3,3,2,3,3.2,2.1,2.75,3.2,2.25,2.75,3.2,2.25,1.65,2,1.49,2.25,0.5,1.96,1.88,0.25,,,
0,2,0,0,3.5,3.2,1.9,3.4,3.4,1.9,3.6,3.25,1.9,3.5,3.1,1.9,3.2,3.5,1.91,3.4,3.25,1.91,3.4,3.25,1.9,1.6,2.1,1.71,1.9,0.5,1.96,1.88,0.5,,,
1,2,1,2,1.83,3.2,3.75,1.85,3.4,3.6,1.85,3.35,3.65,1.8,3.3,3.6,1.8,3.4,3.6,1.85,3.4,3.4,1.9,3.3,3.4,1.6,2.1,1.85,1.75,-0.5,1.94,1.9,-0.5,,,
2,2,2,1,1.9,3.2,3.5,1.9,3.4,3.4,1.95,3.25,3.45,1.9,3.2,3.4,1.91,3.4,3.25,1.91,3.25,3.4,1.9,3.3,3.4,1.71,1.95,1.95,1.67,-0.5,2,1.84,-0.5,,,
4,2,1,1,1.66,3.4,4.33,1.65,3.55,4.45,1.63,3.45,4.65,1.6,3.4,4.6,1.62,3.5,4.5,1.67,3.4,4.33,1.7,3.4,4.2,1.55,2.2,1.63,1.98,-0.5,1.8,2.04,-0.75,,,
3,3,2,1,2,3.2,3.2,2.1,3.3,3,2.05,3.2,3.2,2.1,3,3.1,2,3.2,3.2,2.1,3.2,3,2.05,3.2,3.1,1.55,2.2,2.05,1.6,-0.5,1.8,2.04,-0.25,,,
