FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5
1,5,1,1,2.5,3.1,2.5,2.75,3.1,2.4,2.8,2.9,2.3,2.75,3.2,2.25,2.75,3.2,2.3,2.75,3.2,2.3,2.5,2.9,2.62,1.8,1.8,1.83,1.83
2,0,2,0,2.5,3.1,2.5,2.35,3.15,2.78,2.3,2.8,2.9,2.5,3.2,2.5,2.4,3,2.75,2.4,3,2.75,2.5,2.9,2.62,1.9,1.7,1.9,1.8
0,2,0,0,3,3,2.2,3,3.1,2.22,2.7,2.9,2.4,3,2.88,2.25,3,3.1,2.2,3,3.1,2.2,2.87,3,2.25,1.95,1.65,1.9,1.8
0,3,0,1,1.4,3.75,7,1.4,3.85,7.55,1.3,4,8.5,1.4,3.75,7,1.4,3.75,7.5,1.4,3.75,7.5,1.33,4,8,,,1.72,2
0,1,0,1,1.444,3.75,6,1.48,3.6,6.45,1.5,3.4,5.6,1.44,3.5,7,1.4,3.75,7.5,1.4,3.75,7.5,1.4,3.6,7.5,1.75,1.85,1.83,1.83
1,0,0,0,1.615,3.25,5,1.62,3.4,5.15,1.55,3.4,5,1.62,3.25,5,1.62,3.4,5,1.615,3.4,5,1.57,3.5,5,1.85,1.75,1.8,1.9
1,0,0,0,1.833,3.2,3.75,1.9,3.25,3.7,1.9,3,3.6,1.73,3.4,4,1.85,3.25,3.75,1.85,3.25,3.75,1.83,3,4,1.85,1.75,1.9,1.8
4,2,1,2,1.143,6,12,1.16,5.8,16,1.15,6,12,1.14,6,12,1.14,6,13,1.143,6,13,1.16,5.5,12,1.4,2.5,1.61,2.2
3,0,0,0,2.7,3,2.4,2.55,3.1,2.55,2.5,3,2.5,2.5,2.88,2.62,2.7,3.1,2.4,2.7,3.1,2.4,2.62,2.9,2.5,1.95,1.65,2.1,1.66
2,1,0,0,1.8,3.3,3.75,1.9,3.25,3.7,1.85,3,3.8,1.73,3.2,4.33,1.91,3.2,3.6,1.909,3.2,3.6,1.72,3.25,4.2,1.8,1.8,1.66,2.1
2,0,0,0,2.2,3,3,2.25,3.15,2.9,2.1,2.9,3.2,2.1,3,3.2,2.2,3.1,3,2.2,3.1,3,2.2,3.1,2.87,1.7,1.9,1.83,1.83
