FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
1,1,0,0,2.27,3.2,2.75,2.3,2.9,2.5,2.25,3.2,2.7,2.2,3.4,2.62,2.1,3.4,2.75
4,1,1,1,2.85,3.2,2.18,2.4,2.9,2.4,2.7,3.1,2.3,2.7,3.25,2.25,2.6,3.25,2.25
1,1,1,0,3.25,3.25,2,3.2,3.1,2,3.2,3.2,2,3.25,3.4,1.91,3,3.3,2
0,0,0,0,1.82,3.4,3.6,1.75,3.1,3.6,1.8,3.4,3.6,1.83,3.3,3.6,1.85,3.4,3.3
0,0,0,0,2.05,3.3,3.1,1.85,3.2,3.4,2,3.2,3.2,1.91,3.4,3.25,2,3.4,3
2,2,1,0,2.52,3.2,2.47,2.3,2.9,2.5,2.4,3.4,2.4,2.4,3.4,2.4,2.35,3.3,2.45
1,0,0,0,2.85,3.3,2.12,2.9,2.9,2.1,2.7,3.25,2.25,2.6,3.25,2.3,2.5,3.3,2.3
1,1,0,1,1.55,3.7,5,1.45,3.5,5,1.57,3.5,5,1.53,3.6,5,1.6,3.5,4.5
5,1,3,1,1.57,3.6,5,1.7,3.2,4.2,1.53,3.4,5.5,1.5,3.6,5.5,1.55,3.5,5
3,3,0,1,3.15,3.3,2,2.8,3,2.1,3,3.3,2.05,2.9,3.4,2,3.1,3.25,2
2,0,1,0,1.45,3.8,6.2,1.4,3.6,5.5,1.44,3.6,6.5,1.57,3.5,5,1.45,3.6,6
3,2,1,0,3.55,3.3,1.88,3.5,3.1,1.9,3.6,3.4,1.8,3.6,3.25,1.83,3.6,3.5,1.75
2,1,2,0,2.2,3.15,2.85,2.1,2.9,2.9,2.2,3.2,2.8,2.2,3.25,2.75,2.1,3.3,2.8
8,0,5,0,1.2,5.25,10,1.15,5.5,11,1.25,4.6,9,1.25,4.5,10,1.2,5,9.5
1,1,1,1,1.63,3.45,4.6,1.65,3.3,4.4,1.67,3.3,4.5,1.8,3.4,3.6,1.7,3.4,4
3,3,1,1,1.9,3.3,3.4,1.8,3,3.5,1.91,3.4,3.25,1.91,3.2,3.5,1.8,3.2,3.75
1,0,1,0,2.25,3.15,2.75,2.1,3,2.8,2.1,3.2,3,2.1,3.5,2.75,2.1,3.3,2.8
3,1,0,1,2.55,3.15,2.43,2.4,3.1,2.4,2.7,3.2,2.25,2.7,3.25,2.25,2.6,3.3,2.25
1,4,0,1,2.75,3.1,2.3,2.9,3,2.2,2.5,3.3,2.375,2.5,3.25,2.375,2.5,3.25,2.35
3,2,2,0,1.67,3.4,4.4,1.75,3.1,3.6,1.615,3.5,4.6,1.667,3.4,4.333,1.65,3.4,4.3
