FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5
0,0,0,0,1.8,3,4.2,1.8,3.05,4.5,1.75,3.1,4.2,1.73,3.2,4.33,1.8,3.1,4.33,1.8,3.1,4.2,1.72,3.1,4.5,1.8,1.8,2,1.72
2,1,1,1,1.909,3,3.75,1.9,3.1,3.95,1.85,3,3.8,1.83,3.2,3.75,1.91,3.1,3.75,1.909,3.1,3.75,1.9,3,3.75,1.85,1.75,2,1.72
2,1,2,1,2.2,3,3,2.25,3,2.95,2.1,2.8,3.3,2.1,3,3.2,2.2,2.88,3.2,2.2,2.875,3.2,2.2,2.8,3.2,1.8,1.8,1.9,1.8
0,3,0,0,2.4,3,2.7,2.4,3,2.85,2.3,2.8,2.9,2.38,2.88,2.8,2.38,3,2.8,2.375,3,2.8,2.4,2.9,2.75,1.9,1.7,1.9,1.8
3,1,2,0,2,3,3.4,2.1,3.1,3.3,2.1,2.8,3.3,2,3.2,3.2,2.1,3,3.25,2.1,3,3.25,2.1,3,3.2,1.9,1.7,1.8,1.9
1,2,1,2,5,3.25,1.615,5.5,3.35,1.61,4.8,3.3,1.6,5,3.25,1.62,5,3.2,1.67,5,3.2,1.667,5,3.1,1.66,1.8,1.8,1.8,1.9
1,0,0,0,2,3,3.4,1.9,3.15,3.8,1.9,2.9,3.8,1.8,3.2,4,2,3.1,3.4,2,3.1,3.4,2,2.87,3.6,1.9,1.7,1.9,1.8
1,0,0,0,1.25,4.5,10,1.3,4.4,9.05,1.25,4.2,10,1.25,4.5,10,1.33,4.2,8,1.333,4.2,8,1.22,5,9.5,1.7,1.9,1.66,2.1
1,2,1,1,1.909,3,3.75,1.9,3.15,3.85,2.1,2.8,3.3,1.91,3,3.75,1.91,3.2,3.6,1.909,3.2,3.6,1.9,3.1,3.6,1.8,1.8,1.83,1.83
3,0,2,0,1.4,3.6,7.5,1.32,4.5,8,1.4,3.7,6.5,1.36,3.75,8,1.36,4,7.5,1.364,4,7.5,1.33,4,8,1.7,1.9,1.72,2
1,1,0,0,1.533,3.4,5.5,1.58,3.45,5.5,1.6,3.2,5,1.57,3.25,5.5,1.53,3.4,6,1.533,3.4,6,1.57,3.3,5.5,1.8,1.8,2,1.72
0,2,0,1,2.625,2.875,2.5,2.7,3,2.51,2.5,2.8,2.7,2.88,3,2.25,2.63,3,2.5,2.75,3,2.375,2.62,2.9,2.5,1.9,1.7,,
0,1,0,1,2.2,3,3,2.35,3,2.95,2.4,2.8,2.8,2.25,3,2.88,2.3,3,2.88,2.3,3,2.875,2.2,2.87,3.1,1.95,1.65,2.1,1.66
0,1,0,0,3.4,3,2,3.4,3.1,2.05,3.2,2.9,2.1,3.2,3,2.1,3.25,3,2.1,3.25,3,2.1,3.2,3,2.1,1.9,1.7,1.8,1.9
2,2,2,0,2.2,3,3,2.02,3.1,3.5,2.1,2.9,3.2,2.1,3,3.2,2.1,3.25,3,2.1,3,3.25,2.1,3,3.2,1.9,1.7,1.83,1.83
2,0,0,0,1.4,3.75,7,1.48,3.6,6.8,1.5,3.4,5.6,1.4,3.75,7,1.44,3.6,7,1.444,3.6,7,1.36,3.6,9,1.7,1.9,1.83,1.83
1,1,1,0,1.667,3.1,5,1.63,3.3,5.35,1.65,3,5,1.62,3.25,5,1.62,3.2,5.5,1.615,3.2,5.5,1.61,3.1,5.5,1.7,1.9,1.83,1.83
0,0,0,0,1.25,4.5,10,1.23,5,11.5,1.25,4.3,10,1.29,4.33,9,1.29,4.33,9,1.286,4.333,9,1.22,5,9.5,1.65,1.95,1.72,2
