Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
D1,2029-9-1,Nurnberg,Hamburg,0,0,D,0,0,D,31200,11,7,3,4,0,1,3,1,12,21,8,4,2,3,0,0,20,30,,,,2.2,2.9,2.7,,,,2.2,3.2,2.88,2.2,3.1,2.88,2.1,3.2,3
D1,2029-9-1,Schalke 04,Cottbus,2,0,H,2,0,H,60204,15,10,4,5,1,0,15,5,20,21,3,1,2,3,0,0,20,30,,,,1.45,3.5,5,,,,1.44,3.6,6.5,1.4,4,6.5,1.44,3.6,6.5
D1,2029-9-1,St Pauli,Dortmund,1,2,A,0,2,A,21725,6,16,2,8,1,1,6,14,12,23,0,1,2,4,0,0,20,40,,,,3.2,2.9,1.9,,,,3.75,3.25,1.83,3.75,3.25,1.8,3.25,3.4,1.9
D1,2029-9-1,Werder Bremen,M'gladbach,1,0,H,0,0,D,33231,13,5,7,4,1,0,8,2,14,20,5,1,4,1,0,0,40,10,,,,1.8,3,3.5,1.8,3.25,3.75,1.91,3.25,3.4,1.8,3.25,3.75,1.72,3.25,4.2
D1,2029-9-1,Wolfsburg,Kaiserslautern,2,0,H,1,0,H,14000,27,19,12,9,0,2,7,15,28,21,1,1,1,2,0,0,10,20,,,,2.8,3,2.1,,,,3,3.2,2.1,3,3.2,2.1,3,3.2,2.1
D1,1930-9-1,Bayern Munich,Stuttgart,4,0,H,2,0,H,61000,13,7,8,1,1,0,5,7,22,15,4,1,0,2,0,1,0,45,,,,1.45,3.5,5,1.36,4,7,1.36,3.75,8,1.4,3.75,7,1.36,3.75,8
D1,1930-9-1,Leverkusen,Freiburg,4,1,H,3,1,H,22500,17,5,8,4,1,0,6,4,14,21,3,2,1,1,0,0,10,10,,,,1.45,3.5,5,1.4,3.75,7,1.4,3.75,7.5,1.4,4,6.5,1.44,3.6,6.5
D1,2013-10-1,Cottbus,Leverkusen,2,3,A,1,2,A,16460,23,11,10,4,0,1,13,0,24,22,2,1,4,3,0,1,40,55,,,,3.3,3,2,3.5,3.2,1.91,,,,3.2,3.2,2,3.4,3.25,1.9
D1,2013-10-1,Freiburg,St Pauli,2,2,D,1,1,D,25000,9,6,4,6,1,0,6,5,19,22,2,1,0,3,0,0,0,30,,,,1.6,3.4,4.6,1.57,3.5,5,,,,1.57,3.5,5,1.57,3.3,5.5
D1,2013-10-1,Hamburg,Hertha,4,0,H,2,0,H,45000,15,9,10,5,0,0,5,10,14,13,2,2,1,1,0,0,10,10,,,,2.1,3,3.1,2.37,3.2,2.6,,,,2.38,3.2,2.6,2.37,3.1,2.62
